Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Adrian Barath (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,180,83,,,,,,,
"Ashok Dinda (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,0,3,,,,,,
"Muthumudalige Pushpakumara (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,,,,,,,,,
"Sudeep Tyagi (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,
"Suranga Lakmal (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,4,4,20,20,104,52,12
"Suraj Randiv (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,151,83,,,15,,26,,,
"Thisara Perera (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,102,108,246,164,395,117,70,219,415,280
"Shafiul Islam (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,50,1,6,15,,2,,,
"Lahiru Thirimanne (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,571,417,698,861,2,360,,44
"Shem Ngoche (Kenya)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,28,16,9,,,,,
"George Dockrell (Ireland)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,55,12,8,19,80,30,195,24,143
"Usman Limbada (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,101,0,38,19,,,,,
"Peter Ingram (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,,,,,,,,
"Nelson Odhiambo (Kenya)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,22,,,,,,
"Steven Smith (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,204,29,8,541,805,1154,449,102,
"Andrew McKay (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,2,,,,,,,
"Wriddhiman Saha (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,37,,,,,
"Timothy Gruitjers (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,33,,0,,,,,,
"Aftab Alam (Afghanistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,1,18,,,36,5
"Shabir Noori (Afghanistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,95,13,,,,9,,,
"Nitish Kumar (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,66,9,25,48,,,,,
"Ajmal Shahzad (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,34,,,,,,,,
"Daniel Christian (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,23,,,,,
"Abhimanyu Mithun (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,23,,,,,,,,
"Craig Kieswetter (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,489,203,42,,,,,,
"Shingirai Masakadza (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,0,40,33,22,,,,,
"Gregory Lamb (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,63,,,,,,,,
"Suhrawadi Shuvo (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,39,,,,,,,,
"James Tredwell (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,7,23,106,0,,,,
"Shanan Stewart (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,
"Michael Carberry (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,6,,,,,
"Steven Finn (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,15,19,10,25,,5,,
"Jahurul Islam (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,88,26,,,,,,
"Parth Desai (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,0,,,,,
"Dinesh Chandimal (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,297,845,459,308,325,656,255,298,13
"Craig Ervine (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,257,,121,,698,168,234,374,139
"Michael Lumb (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,
"Vinay Kumar (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,19,43,,,,,,
"David Miller (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,117,,544,279,729,207,370,384,142
"Robert Nicol (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,449,6,,,,,,
"Robiul Islam (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Umesh Yadav (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,6,1,17,6,27,2,0,
"Jeevan Mendis (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,164,153,104,67,69,,,,13
"Ravichandran Ashwin (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,122,135,167,147,48,1,17,,
"Naman Ojha (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Pankaj Singh (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
"Tendai Chatara (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,49,23,6,11,43,0
"Umar Amin (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,216,19,,,,2,
"Tom Cooper (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,589,275,52,60,,,,,,
"Joshua Davey (Scotland)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,101,23,84,44,130,24,19,,
"Matthew Parker (Scotland)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,,,,,,
"Preston Mommsen (Scotland)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,62,5,199,276,196,221,14,,
"Asad Shafiq (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,427,267,166,128,94,,18,,
"Josh Hazlewood (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,0,0,16,5,16,
"Jimmy Hansra (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,292,6,36,2,,,,,
"James Hall (Ireland)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,
"Nigel Jones (Ireland)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,5,,,,,,,,
"Rory McCann (Ireland)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,
"James Ngoche (Kenya)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,10,1,1,,,,,,
"Francis Otieno (Kenya)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,
"Wesley Barresi (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,249,51,110,165,,,,83,
"Oli Hairs (Scotland)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,
"Andy Balbirnie (Ireland)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,60,362,,306,489,452
"Bradley Kruger (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,8,,,,,,,,
"Dominic Wesonga (Kenya)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,2,,,,,,,,
"Javed Ahmadi (Afghanistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,72,,131,286,90,175,104,46
"Albert van der Merwe (Ireland)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,,,,,,,,
"Bernard Loots (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6,,,,,,,,
"Azhar Ali (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,411,2,,775,341,265,12,
"Kane Williamson (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,270,356,453,770,1376,699,596,468,370
"Thomas Heggelman (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,,,,,,,,
"Noor-ul-Haq (Afghanistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,
"Ryan Flannigan (Scotland)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,
"Mohammad Irfan (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,0,18,18,9,0,,,
"Ian Nicolson (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,
"Colin Ingram (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,86,14,455,,,,,,
"Rusty Theron (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
"Cheteshwar Pujara (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,38,,,,,
"Abdullah Mazari (Afghanistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,
"Izatullah Dawlatzai (Afghanistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,,,0,,,,
"Hamish Bennett (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,,3,,,0,,
"Mitchell Starc (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,43,79,39,2,45,51,21,
"John Hastings (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,66,,,,34,155,0,,
"Shikhar Dhawan (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,69,,1162,815,745,287,960,897,420
"Saurabh Tiwary (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,
"Xavier Doherty (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,14,37,45,2,0,,,,
"Adnan Akmal (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,11,,,,,,,
"Andre Russell (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336,259,65,57,268,,,13,
"Tanvir Ahmed (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,
"Jaydev Unadkat (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
"Adam Milne (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0,0,63,55,38,,
"Dean Brownlie (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,181,,,158,,
"Luke Woodcock (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,
"Usman Khawaja (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,399,56,,769
"Aaron Finch (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514,790,561,655,405,493,634
"Chris Woakes (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,33,69,157,155,212,169,205,26
"Faf du Plessis (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,275,539,790,884,578,905,434,432
"Tyson Gordon (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,
"Berend Westdijk (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
"Imran Tahir (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,47,26,39,1,22,6
"Karl Whatham (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,
"Devendra Bishoo (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,0,80,65,9
"Kirk Edwards (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,178,,,,,
"James Pattinson (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36,,4,2,,,,
"Junaid Khan (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,46,3,9,,0,3,5
"Mohammad Salman (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,
"Danza Hyatt (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,
"Ashley Nurse (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,232,129,114
"Hammad Azam (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,38,,,4,,,,
"Anthony Martin (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
"Usman Salahuddin (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,
"Kraigg Brathwaite (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,61,,
"Jade Dernbach (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,2,4,,,,,,
"Neil Kruger (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,
"Michael Swart (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,94,28,29,,,,,
"Safyaan Sharif (Scotland)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,39,32,0,18,45,67,13
"Ahsan Malik (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,14,0,,,,,
"Vinoo Tewarie (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
"Dimuth Karunaratne (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,20,,106,,,,77
"Brian Vitori (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,29,23,8,0,,23,
"Hamza Tariq (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,3,71,,,,,
"Junaid Siddiqui (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,11,16,5,,,,,
"Dawlat Zadran (Afghanistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,36,0,92,89,73,98,112,2
"Rustam Bhatti (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
"Gulbadin Naib (Afghanistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,49,21,82,0,84,225,296,73
"Nasir Hossain (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,244,321,225,187,31,14,5,
"Shuvagata Hom (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,
"Shaminda Eranga (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,14,12,5,0,,,
"Seekkuge Prasanna (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,13,70,79,13,177,35,,16
"Scott Borthwick (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,
"Ben Stokes (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,57,195,262,490,616,313,343
"James Taylor (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,25,170,691,,,,
"Nathan Lyon (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,8,,34,,4,19
"Alexander Hales (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,453,743,535,457,105
"Jos Butler (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,298,704,642,573,288,671,373
"Ajinkya Rahane (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,340,9,113,768,722,284,586,140,
"Aizaz Cheema (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,17,,,,,,,
"Duncan Allan (Kenya)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,18,18,,,,,,
"Runish Gudhka (Kenya)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,
"Irfan Karim (Kenya)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,212,131,,,,,
"Lucas Oluoch (Kenya)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
"Stephan Myburgh (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,28,140,36,,,,29,
"Emmanuel Ringera (Kenya)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
"Wilfred Diepeveen (Netherlands)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
"Yasir Shah (Pakistan)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,76,26,,0,25
"Jonny Bairstow (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,29,,,141,198,534,1025,312
"Zahid Hussain (Canada)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
"Johnson Charles (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,686,31,146,268,,,
"Carlos Brathwaite (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,60,157,42,53,66
"Patrick Cummins (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,4,,1,12,0,94,38,17
"Matthew Wade (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546,192,171,166,518,184,,
"Douglas Bracewell (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,0,,43,17,5,,79
"Mitchell Marsh (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,31,321,236,642,4,186,
"Graeme Aldridge (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
"Nuwan Pradeep (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,3,9,6,0,9
"Elias Sunny (Bangladesh)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
"Varun Aaron (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,2,,,,,
"Stuart Meaker (England)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
"Natsai Mushangwe (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,31,0,,,,,
"Njabulo Ncube (Zimbabwe)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
"Kosala Kulasekara (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38,,,,,,,
"Sunil Narine (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,107,116,24,9,72,,,
"Rahul Sharma (India)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,
"Trent Boult (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,31,13,29,23,26,14
"Jason Mohammed (West Indies)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4,,523,22,
"Marchant de Lange (South Africa)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,,,
"Sachithra Senanayake (Sri Lanka)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,97,105,25,,,,
"George Bailey (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,1098,406,291,808,,,
"James Faulkner (Australia)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,262,144,107,111,,
"Andrew Ellis (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,22,,,,,,
"Tom Latham (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,142,131,486,461,546,299,192
"Tarun Nethula (New Zealand)
            - ODI Cricket",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,
