,Name_of_player,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
68,Tertius Bosch ,South Africa,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Sir Ian Botham ,England,,,,,,,21.0,53.0,133.0,278.0,434.0,593.0,781.0,1056.0,1147.0,1248.0,1299.0,1693.0,,1730.0,,1738.0,2113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Keith Boyce ,West Indies,,,,7.0,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Geoff Boycott ,England,,8.0,82.0,117.0,,,,117.0,126.0,619.0,969.0,1082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Brendon Bracewell ,New Zealand,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,John Bracewell ,New Zealand,,,,,,,,,,,,,,41.0,73.0,120.0,246.0,308.0,469.0,,512.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Grant Bradburn ,New Zealand,,,,,,,,,,,,,,,,,,,,,38.0,,57.0,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,
75,David Brain ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,24.0,85.0,103.0,117.0,,,,,,,,,,,,,,,,,,,,,,,,
76,Eddo Brandes ,Zimbabwe,,,,,,,,,,,,,,,,,,21.0,,,,,94.0,177.0,182.0,187.0,220.0,250.0,330.0,404.0,,,,,,,,,,,,,,,,,,,,
77,Mike Brearley ,England,,,,,,,,147.0,206.0,476.0,510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Gavin Briant ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Raymond Bright ,Australia,,,,,0.0,,,17.0,,37.0,42.0,60.0,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Chris Broad ,England,,,,,,,,,,,,,,,,,,1047.0,1361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Vaughan Brown ,New Zealand,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Mark Burgess ,New Zealand,,,,48.0,54.0,,92.0,,93.0,138.0,246.0,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Mark Burmester ,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,28.0,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,
84,Alan Butcher ,England,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Roland Butcher ,England,,,,,,,,,,,52.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Andy Caddick ,England,,,,,,,,,,,,,,,,,,,,,,,,3.0,23.0,,,35.0,,,77.0,145.0,185.0,249.0,,,,,,,,,,,,,,,,
