Name_of_player,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Guy De Alwis ,Sri Lanka,,,,,,,,,,,,,,198.0,18.0,,51.0,16.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillip De Freitas ,England,,,,,,,,,,,,,,,,,,224.0,65.0,39.0,103.0,42.0,21.0,25.0,18.0,29.0,124.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Richard De Groen ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,
Ashantha De Mel ,Sri Lanka,,,,,,,,,,,,,86.0,130.0,32.0,100.0,99.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashley de Silva ,Sri Lanka,,,,,,,,,,,,,,,,,8.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Somachandra De Silva ,Sri Lanka,,,,,,47.0,,,,7.0,,,31.0,172.0,61.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asoka De Silva ,Sri Lanka,,,,,,,,,,,,,,,,,0.0,0.0,38.0,42.0,21.0,37.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajit de Silva ,Sri Lanka,,,,,,0.0,,,,2.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aravinda de Silva ,Sri Lanka,,,,,,,,,,,,,,,105.0,384.0,147.0,155.0,520.0,441.0,470.0,53.0,538.0,699.0,712.0,481.0,1188.0,1212.0,694.0,394.0,141.0,96.0,464.0,390.0,,,,,,,,,,,,,,,,
Fanie De Villiers ,South Africa,,,,,,,,,,,,,,,,,,,,,,,0.0,20.0,68.0,20.0,55.0,7.0,,,,,,,,,,,,,,,,,,,,,,
Michael Denness ,England,,,,66.0,73.0,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kapil Dev ,India,,,,,,,,,18.0,53.0,112.0,102.0,230.0,527.0,101.0,263.0,517.0,448.0,331.0,238.0,192.0,135.0,318.0,141.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,
Roy Dias ,Sri Lanka,,,,,,,,,,75.0,,,479.0,157.0,115.0,587.0,33.0,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graham Dilley ,England,,,,,,,,,,1.0,0.0,3.0,1.0,90.0,1.0,,8.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Dodemaide ,Australia,,,,,,,,,,,,,,,,,,,84.0,,,,0.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Allan Donald ,South Africa,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,12.0,9.0,5.0,0.0,21.0,19.0,10.0,1.0,4.0,6.0,0.0,,,,,,,,,,,,,,,,
Dilip Doshi ,India,,,,,,,,,,,2.0,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Doull ,New Zealand,,,,,,,,,,,,,,,,,,,,,,,2.0,,44.0,17.0,19.0,54.0,30.0,6.0,0.0,,,,,,,,,,,,,,,,,,,
Paul Downton ,England,,,,,,,,0.0,,,,,,,71.0,94.0,28.0,19.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeff Dujon ,West Indies,,,,,,,,,,,,0.0,134.0,190.0,262.0,199.0,164.0,234.0,254.0,295.0,70.0,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregory Dyer ,Australia,,,,,,,,,,,,,,,,,51.0,50.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geoffrey Dymock ,Australia,,,,,0.0,,,2.0,,15.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Dyson ,Australia,,,,,,,,,,,218.0,37.0,183.0,317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruce Edgar ,New Zealand,,,,,,,,,31.0,113.0,154.0,390.0,93.0,552.0,64.0,,417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phillippe Edmonds ,England,,,,,,,,5.0,4.0,22.0,,,,,0.0,69.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Edrich ,England,,82.0,,,133.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graham Edwards ,New Zealand,,,,,,,73.0,,12.0,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross Edwards ,Australia,,,69.0,,,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walter Edwards ,Australia,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manzoor Elahi ,Pakistan,,,,,,,,,,,,,,,114.0,9.0,210.0,263.0,86.0,,17.0,,,,8.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,
Richard Ellison ,England,,,,,,,,,,,,,,,18.0,41.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Emburey ,England,,,,,,,,,,,26.0,5.0,0.0,,,,42.0,326.0,62.0,10.0,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Farokh Engineer ,India,,,,,36.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil Fairbrother ,England,,,,,,,,,,,,,,,,,,80.0,152.0,,,122.0,506.0,344.0,22.0,115.0,198.0,,56.0,497.0,,,,,,,,,,,,,,,,,,,,
