Name_of_player,Country
John Thomas ,England
Froggy Thomson ,Australia
Jeff Thomson ,Australia
Shane Thomson ,New Zealand
Graham Thorpe ,England
Hashan Tillakaratne ,Sri Lanka
Fred Titmus ,England
Roger Tolchard ,England
Peter Toohey ,Australia
Athanasios Traicos ,Zimbabwe
Gary Troup ,New Zealand
Phil Tufnell ,England
Alan Turner ,Australia
Glenn Turner ,New Zealand
Nasim-Ul-Ghani ,Pakistan
Inzamam-ul-Haq ,Pakistan
Derek Underwood ,England
Ata-Ur-Rehman ,Pakistan
Rizwan-Uz-Zaman ,Pakistan
Robert Vance ,New Zealand
Justin Vaughan ,New Zealand
Michael Veletta ,Australia
Dillip Vengsarkar ,India
Srinivas Venkataraghavan ,India
Margasaghayam Venkataramana ,India
Gundappa Viswanath ,India
Sandanand Viswanath ,India
Graham Vivian ,New Zealand
Ajit Wadekar ,India
Kenneth Wadsworth ,New Zealand
Max Walker ,Australia
Courtney Walsh ,West Indies
Doug Walters ,Australia
Bandula Warnapura ,Sri Lanka
Khahakachchi Warnaweera ,Sri Lanka
Shane Warne ,Australia
Atul Wassan ,India
Steven Watkin ,England
Graeme Watson ,Australia
Willie Watson ,New Zealand
Mark Waugh ,Australia
Steve Waugh ,Australia
Peter Webb ,New Zealand
Dirk Wellham ,Australia
Kepler Wessels ,South Africa
Mithra Wettimuny ,Sri Lanka
Sidath Wettimuny ,Sri Lanka
Davenell Whatmore ,Australia
John Whitaker ,England
David White ,New Zealand
Michael Whitney ,Australia
Pramodya Wickremasinghe ,Sri Lanka
Gamini Wickremasinghe ,Sri Lanka
Julien Wiener ,Australia
Kapila Wijegunawardene ,Sri Lanka
Roger Wijesuriya ,Sri Lanka
Peter Willey ,England
David Williams ,West Indies
Bob Willis ,England
Barry Wood ,England
Graeme Wood ,Australia
Ashley Woodcock ,Australia
Roger Woolley ,Australia
Robert Woolmer ,England
John Wright ,New Zealand
Kevin Wright ,Australia
Nandlal Yadav ,India
Vijay Yadav ,India
Graham Yallop ,Australia
Bruce Yardley ,Australia
Bryan Young ,New Zealand
Waqar Younis ,Pakistan
Saleem Yousuf ,Pakistan
Timothy Zoehrer ,Australia
Zulquarnain ,Pakistan
Ruwan Kalpage ,Sri Lanka
Pubudu Dassanayake ,Sri Lanka
Kumar Dharmasena ,Sri Lanka
Clive Eksteen ,South Africa
Matthew Hart ,New Zealand
Matthew Hayden ,Australia
Stephen Fleming ,New Zealand
Nayan Mongia ,India
Shivnarine Chanderpaul ,West Indies
Stuart Williams ,West Indies
Dulip Samaraweera ,Sri Lanka
Glen Bruk-Jackson ,Zimbabwe
Mark Dekker ,Zimbabwe
Stephen Peall ,Zimbabwe
John Rennie ,Zimbabwe
Heath Streak ,Zimbabwe
Guy Whittall ,Zimbabwe
Steven Rhodes ,England
Craig White ,England
Gavin Larsen ,New Zealand
Heath Davis ,New Zealand
Wayne James ,Zimbabwe
Ashfaq Ahmed ,Pakistan
Darren Gough ,England
John Crawley ,England
Joseph Benjamin ,England
Ravindra Pushpakumara ,Sri Lanka
Sanjeeva Ranatunga ,Sri Lanka
Chaminda Vaas ,Sri Lanka
Kabir Khan ,Pakistan
Michael Bevan ,Australia
Damien Fleming ,Australia
Philip Emery ,Australia
Paul Strang ,Zimbabwe
Darrin Murray ,New Zealand
Cameron Cuffy ,West Indies
Rajindra Dhanraj ,West Indies
Aashish Kapoor ,India
Steven Jack ,South Africa
Phillipus Steyn ,South Africa
Greg Blewett ,Australia
Sherwin Campbell ,West Indies
Stuart Carlisle ,Zimbabwe
Bryan Strang ,Zimbabwe
Iain Butchart ,Zimbabwe
Henry Olonga ,Zimbabwe
Courtney Browne ,West Indies
Kerry Walmsley ,New Zealand
Chamara Dunusinghe ,Sri Lanka
Peter Martin ,England
Dominic Cork ,England
Ottis Gibson ,West Indies
Nicholas Knight ,England
Michael Watkinson ,England
Alan Wells ,England
Saleem Elahi ,Pakistan
Saqlain Mushtaq ,Pakistan
Mohammad Akram ,Pakistan
Ijaz Ahmed ,Pakistan
Craig Wishart ,Zimbabwe
Alan Lock ,Zimbabwe
Lee Germon ,New Zealand
Roger Twose ,New Zealand
Shaun Pollock ,South Africa
Stuart Law ,Australia
Ricky Ponting ,Australia
Craig Spearman ,New Zealand
Jacques Kallis ,South Africa
Paul Adams ,South Africa
Kelaniyage Silva ,Sri Lanka
Nathan Astle ,New Zealand
Robert Kennedy ,New Zealand
Geoffrey Allott ,New Zealand
Robert Samuels ,West Indies
Patterson Thompson ,West Indies
Vikram Rathore ,India
Sunil Joshi ,India
Paras Mhambrey ,India
Venkatesh Prasad ,India
Alan Mullally ,England
Ronald Irani ,England
Sourav Ganguly ,India
Rahul Dravid ,India
Mark Ealham ,England
Shadab Kabir ,Pakistan
Robert Croft ,England
Craig Evans ,Zimbabwe
Andrew Whittall ,Zimbabwe
Brad Hogg ,Australia
Shahid Nazir ,Pakistan
Azam Khan ,Pakistan
Hasan Raza ,Pakistan
Mohammad Hussain ,Pakistan
Everton Matambanadzo ,Zimbabwe
Mpumelelo Mbangwa ,Zimbabwe
Matthew Elliott ,Australia
Michael Kasprowicz ,Australia
Mohammad Wasim ,Pakistan
Zahoor Elahi ,Pakistan
V V S Laxman ,India
Herschelle Gibbs ,South Africa
Lance Klusener ,South Africa
Jason Gillespie ,Australia
Mohammad Zahid ,Pakistan
Andrew Waller ,Zimbabwe
Christopher Silverwood ,England
Adam Bacher ,South Africa
Doddanarasiah Ganesh ,India
Adrian Griffith ,West Indies
Andy Bichel ,Australia
Daniel Vettori ,New Zealand
Matthew Horne ,New Zealand
